,Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
209,"CAMPBELL, Mr William",1891.0,1912.0,20,Male,2nd Class Passenger H&W Guarantee Group,239853,,,Belfast,Carpenter / Joiner,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/william-campbell.html
210,"MOOR, Mrs Beila",1882.0,1958.0,29,Female,3rd Class Passenger,392096,£12             9s             6d,[E] 121,Southampton,Tailor,SAVED,14,,"Russian,Romanian",https://www.encyclopedia-titanica.org/titanic-survivor/beila-moor.html
211,"ABī SA'B, Mr Jirjis Yūsuf",1867.0,1912.0,45,Male,3rd Class Passenger,2685,£7             4s             6d,,Cherbourg,Shoemaker,LOST,,312.0,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/gerios-yousseff-abi-saab.html
212,"VARTANIAN, Mr David",1890.0,1966.0,22,Male,3rd Class Passenger,2658,£7             4s             6d,,Cherbourg,,SAVED,,,"Armenian, Turkish",https://www.encyclopedia-titanica.org/titanic-survivor/david-vartanian.html
213,"GIGLIO, Mr Victor Gaitan Andrea",1888.0,1912.0,23,Male,1st Class Passenger Servant,17593,£79             4s,B86,Cherbourg,Servant,LOST,,,"English, Italian",https://www.encyclopedia-titanica.org/titanic-victim/victor-giglio.html
214,"QUICK, Mrs Jane",1878.0,1965.0,33,Female,2nd Class Passenger,26360,£26.00,,Southampton,,SAVED,11,,"English, American",https://www.encyclopedia-titanica.org/titanic-survivor/jane-quick.html
215,"DELALIć, Mr Redžo",1887.0,1912.0,25,Male,3rd Class Passenger,349250,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bosnian,https://www.encyclopedia-titanica.org/titanic-victim/redjo-delalic.html
216,"FOX, Mr Stanley Harrington",1874.0,1912.0,38,Male,2nd Class Passenger,229236,£13.00,,Southampton,Businessman,LOST,,236.0,American,https://www.encyclopedia-titanica.org/titanic-victim/stanley-hubert-fox.html
217,"NASR 'ALMā, Mr Mustafà",1892.0,1912.0,20,Male,3rd Class Passenger,2652,£7             4s             7d,,Cherbourg,Farm Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/mustafa-nasr-alma.html
218,"SJöBLOM, Miss Anna Sofia",1894.0,1975.0,18,Female,3rd Class Passenger,3101265,£6             9s             11d,D-O134,Southampton,,SAVED,16,,Finnish,https://www.encyclopedia-titanica.org/titanic-survivor/anna-sofia-sjoblom.html
219,"ANDERSSON, Miss Ellis Anna Maria",1910.0,1912.0,2,Female,3rd Class Passenger,347082,£31             5s             6d,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/ellis-anna-maria-andersson.html
220,"VESTRöM, Miss Hulda Amanda Adolfina",1897.0,1912.0,14,Female,3rd Class Passenger,350406,£7             17s             1d,,Southampton,Servant,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/hulda-amanda-adolfina-vestrom.html
221,"GUSTAFSSON, Mr Johan Birger",1883.0,1912.0,28,Male,3rd Class Passenger,3101277,£7             18s             6d,,Southampton,,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/johan-birger-gustafsson.html
222,"KINK, Mr Vincenz",1885.0,1912.0,26,Male,3rd Class Passenger,315151,£8             13s             3d,(E)58,Southampton,Magazineer,LOST,,,"Austrian, Swiss",https://www.encyclopedia-titanica.org/titanic-victim/vincenz-kink.html
223,"RENOUF, Mrs Lillian",1882.0,1933.0,30,Female,2nd Class Passenger,31027,£21.00,,Southampton,,SAVED,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-survivor/lillian-renouf.html
224,"GARSIDE, Miss Ethel",1873.0,1953.0,39,Female,2nd Class Passenger,243880,£13.00,,Southampton,,SAVED,12,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ethel-garside.html
225,"CUNNINGHAM, Mr Alfred Fleming",1890.0,1912.0,21,Male,2nd Class Passenger H&W Guarantee Group,239853,,,Belfast,Fitter,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/alfred-fleming-cunningham.html
226,"HORGAN, Mr John",1890.0,1912.0,22,Male,3rd Class Passenger,370377,£7             15s,,Queenstown,General Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/john-nee-landers-horgan.html
227,"MOOR, Master Meier",1904.0,1975.0,7,Male,3rd Class Passenger,392096,£12             9s             6d,[E] 121,Southampton,,SAVED,14,,"Russian,Romanian",https://www.encyclopedia-titanica.org/titanic-survivor/meier-moor.html
228,"TANNūS, Mr Bashīr",1881.0,1912.0,30,Male,3rd Class Passenger,2621,£6             8s             9d,,Cherbourg,Dealer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/charles-rad-thomas.html
229,"SKOOG, Mr Wilhelm Johansson",1872.0,1912.0,40,Male,3rd Class Passenger,347088,£27             18s,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/wilhelm-william-johansson-skoog.html
230,"SæTHER, Mr Simon Sivertsen",1868.0,1912.0,43,Male,3rd Class Passenger,3101262,£7             5s,,Southampton,Miner,LOST,,32.0,Norwegian,https://www.encyclopedia-titanica.org/titanic-victim/simon-sivertsen-saether.html
231,"MITKOFF, Mr Mito",1889.0,1912.0,23,Male,3rd Class Passenger,349221,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/mito-mitkoff.html
232,"ABī SA'B, Mrs Sha'nīnah",1874.0,1947.0,38,Female,3rd Class Passenger,2688,£7             4s             7d,,Cherbourg,,SAVED,C,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/shawneene-george-joseph.html
233,"ROBINS, Mr Victor",1867.0,1912.0,45,Male,1st Class Passenger Servant,17757,£247             10s             6d,,Cherbourg,Servant,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/victor-robbins.html
234,"MATINOFF, Mr Nicola",1882.0,1912.0,30,Male,3rd Class Passenger,349255,£7             17s             11d,,Cherbourg,,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/nicola-matinoff.html
235,"COELHO, Mr Domingos Fernandeo",1891.0,1912.0,20,Male,3rd Class Passenger,3101307,£7             1s,,Southampton,General Labourer,LOST,,,Portuguese,https://www.encyclopedia-titanica.org/titanic-victim/domingos-fernandeo-coelho.html
236,"ABī SHADīD, Mr Dāhir",1893.0,1912.0,19,Male,3rd Class Passenger,2698,£7             4s             6d,,Cherbourg,,LOST,,9.0,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/daher-shedid.html
237,"JEFFERYS, Mr Clifford Thomas",1888.0,1912.0,24,Male,2nd Class Passenger,31029,£31             10s,,Southampton,Granite Cutter,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/clifford-thomas-jefferys.html
238,"TAYLOR, Mrs Juliet Cummins",1862.0,1927.0,49,Female,1st Class Passenger,19996,£52.00,C126,Southampton,,SAVED,5,,American,https://www.encyclopedia-titanica.org/titanic-survivor/juliet-cummins-taylor.html
239,"JOHANSSON, Mr Oscar Wilhelm",1879.0,1967.0,32,Male,3rd Class Passenger,347079,£7             15s             6d,,Southampton,Seaman,SAVED,,,Swedish,https://www.encyclopedia-titanica.org/titanic-survivor/oscar-wilhelm-Johansson.html
240,"DENNIS, Mr William",1886.0,1912.0,26,Male,3rd Class Passenger,21175,£7             5s,,Southampton,Farmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-dennis.html
241,"WITTEVRONGEL, Mr Camilius Aloysius",1875.0,1912.0,36,Male,3rd Class Passenger,345771,£9             10s,,Southampton,Farmer,LOST,,,Belgian,https://www.encyclopedia-titanica.org/titanic-victim/camilius-aloysius-wittevrongel.html
242,"CALDWELL, Mr Albert Francis",1885.0,1977.0,26,Male,2nd Class Passenger,248738,£29.00,,Southampton,,SAVED,13,,American,https://www.encyclopedia-titanica.org/titanic-survivor/albert-caldwell.html
243,"FOLEY, Mr William",1891.0,1912.0,20,Male,3rd Class Passenger,365235,£7             15s,,Queenstown,Farm Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/william-foley.html
244,"PULBAUM, Mr Franz",1884.0,1912.0,27,Male,2nd Class Passenger,2168,£15                         8d,,Cherbourg,,LOST,,,"German, American",https://www.encyclopedia-titanica.org/titanic-victim/franz-pulbaum.html
245,"NAVRATIL, Master Michel Marcel",1908.0,2001.0,3,Male,2nd Class Passenger,230080,£26.00,F4,Southampton,,SAVED,,,French,https://www.encyclopedia-titanica.org/titanic-survivor/michel-marcel-navratil.html
246,"KATAVELOS, Mr Vasilios G.",1893.0,1912.0,19,Male,3rd Class Passenger,2682,£7             4s             7d,,Cherbourg,Farmer,LOST,,58.0,Greek,https://www.encyclopedia-titanica.org/titanic-victim/vasilios-katavelos.html
247,"LéVY, Mr René Jacques",1875.0,1912.0,36,Male,2nd Class Passenger,2163,£12             17s             6d,D?,Southampton,Chemist,LOST,,,French,https://www.encyclopedia-titanica.org/titanic-victim/rene-jacques-levy.html
248,"GUSTAFSSON, Mr Alfred Ossian",1892.0,1912.0,19,Male,3rd Class Passenger,7534,£9             16s             11d,,Southampton,General Labourer,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/alfred-ossian-gustafsson.html
249,"CARDEZA, Mrs Charlotte Wardle",1854.0,1939.0,58,Female,1st Class Passenger,17755,£512             6s             7d,B51/53/55,Cherbourg,,SAVED,3,,American,https://www.encyclopedia-titanica.org/titanic-survivor/charlotte-cardeza.html
250,"ØSTBY, Mr Engelhart Cornelius",1848.0,1912.0,64,Male,1st Class Passenger,113509,£61             19s             7d,B30,Southampton,Jeweller,LOST,,234.0,Norwegian,https://www.encyclopedia-titanica.org/titanic-victim/engelhart-cornelius-ostby.html
251,"CONNOLLY, Miss Catherine",1888.0,1948.0,23,Female,3rd Class Passenger,370373,£7             15s,,Queenstown,,SAVED,13,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/kate-connolly.html
252,"KINK, Mr Anton",1883.0,1959.0,29,Male,3rd Class Passenger,315153,£22                         6d,(E)58,Southampton,,SAVED,2,,"Austrian, Swiss",https://www.encyclopedia-titanica.org/titanic-survivor/anton-kink.html
253,"BISHOP, Mr Dickinson H.",1887.0,1961.0,25,Male,1st Class Passenger,11967,£91             1s             7d,B49,Cherbourg,,SAVED,7,,American,https://www.encyclopedia-titanica.org/titanic-survivor/dickinson-bishop.html
254,"DICK, Mr Albert Adrian",1880.0,1970.0,31,Male,1st Class Passenger,17474,£57.00,B20,Southampton,,SAVED,3,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/albert-adrian-dick.html
255,"LAROCHE, Mr Joseph Philippe Lemercier",1886.0,1912.0,25,Male,2nd Class Passenger,2123,£41             11s             7d,,Cherbourg,Engineer,LOST,,,Haitian,https://www.encyclopedia-titanica.org/titanic-victim/joseph-laroche.html
256,"OXENHAM, Mr Percy Thomas",1889.0,1954.0,22,Male,2nd Class Passenger,14260,£10             10s,,Southampton,Mason,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/percy-thomas-oxenham.html
257,"HART, Mrs Emily Esther Louisa",1863.0,1928.0,48,Female,2nd Class Passenger,13529,£26             5s,,Southampton,,SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/esther-hart.html
258,"OREšKOVIć, Miss Marija",1892.0,1912.0,19,Female,3rd Class Passenger,315096,£8             13s             3d,,Southampton,Farm Labourer,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/marija-oreskovic.html
259,"LUNDSTRöM, Mr Thure Edvin",1880.0,1942.0,32,Male,3rd Class Passenger,350403,£7             11s             7d,,Southampton,,SAVED,15,,Swedish,https://www.encyclopedia-titanica.org/titanic-survivor/thure-edvin-lundstrom.html
260,"BEAUCHAMP, Mr Henry James",1868.0,1912.0,43,Male,2nd Class Passenger,244358,£26.00,,Southampton,Club Head Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-james-beauchamp.html
261,"NOEL, Major Gerard Thomas",1856.0,1941.0,55,Male,1st Class Passenger Cross Channel Passenger,48,£3.00,,Southampton,,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/gerard-thomas-noel.html
262,"DENBUOY, Mr Albert Joseph",1886.0,1912.0,25,Male,2nd Class Passenger,31029,£31             10s,,Southampton,Fruit Farmer,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/albert-denbuoy.html
263,"ATā ALLāH, Miss Malakah",1894.0,1912.0,18,Female,3rd Class Passenger,2627,£14             9s             2d,,Cherbourg,,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/malake-attalah.html
264,"SEMAN, Master Betros",1902.0,1912.0,10,Male,3rd Class Passenger,2622,£4                         3d,,Cherbourg,,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/betros-seman.html
265,"CUMINGS, Mr John Bradley",1872.0,1912.0,39,Male,1st Class Passenger,17599,£71             5s             8d,C85,Cherbourg,,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/john-bradley-cumings.html
266,"SNYDER, Mr John Pillsbury",1888.0,1959.0,24,Male,1st Class Passenger,21228,£82             5s             4d,B45,Southampton,,SAVED,7,,American,https://www.encyclopedia-titanica.org/titanic-survivor/john-pillsbury-snyder.html
267,"ZAKARIAN, Mr Haroutioun",1885.0,1912.0,27,Male,3rd Class Passenger,2670,£7             4s             6d,,Cherbourg,General Labourer,LOST,,,"Armenian, Turkish",https://www.encyclopedia-titanica.org/titanic-victim/ortin-zakarian.html
268,"HOWARD, Mr Benjamin",1848.0,1912.0,63,Male,2nd Class Passenger,24065,£26.00,,Southampton,Retired,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/benjamin-howard.html
269,"LOBB, Mr William Arthur",1881.0,1912.0,31,Male,3rd Class Passenger,3336,£16             2s,,Southampton,Engineer,LOST,,,"English,American",https://www.encyclopedia-titanica.org/titanic-victim/william-arthur-lobb.html
270,"RICE, Master George",1903.0,1912.0,8,Male,3rd Class Passenger,382652,£29             2s             6d,,Queenstown,,LOST,,,Canadian,https://www.encyclopedia-titanica.org/titanic-victim/george-rice.html
271,"NEWELL, Mr Arthur Webster",1854.0,1912.0,58,Male,1st Class Passenger,35273,£113             5s             6d,D48,Cherbourg,,LOST,,122.0,American,https://www.encyclopedia-titanica.org/titanic-victim/arthur-webster-newell.html
272,"FARRELL, Mr James",1886.0,1912.0,26,Male,3rd Class Passenger,367232,£7             15s,,Queenstown,Farm Labourer,LOST,,68.0,Irish,https://www.encyclopedia-titanica.org/titanic-victim/jim-farrell.html
273,"MEYER, Mrs Leila",1886.0,1957.0,25,Female,1st Class Passenger,17604,£82             3s             5d,,Cherbourg,,SAVED,6,,American,https://www.encyclopedia-titanica.org/titanic-survivor/leila-meyer.html
274,"ČALIć, Mr Jovo",1895.0,1912.0,17,Male,3rd Class Passenger,315093,£8             13s             3d,,Southampton,,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/jovo-calic.html
275,"FORTUNE, Miss Ethel Flora",1883.0,1961.0,28,Female,1st Class Passenger,19950,£263.00,C23/25/27,Southampton,,SAVED,10,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/ethel-flora-fortune.html
276,"MURPHY, Miss Margaret",1887.0,1957.0,25,Female,3rd Class Passenger,367230,£15             10s,,Queenstown,,SAVED,16,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/margaret-murphy.html
277,"WEST, Mrs Ada Mary",1879.0,1953.0,33,Female,2nd Class Passenger,34651,£27             15s,,Southampton,,SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ada-mary-west.html
278,"COOK, Mrs Selena",1890.0,1964.0,22,Female,2nd Class Passenger,14266,£10             10s,F33,Southampton,,SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/selena-cook.html
279,"ELIAS NASRALLAH, Mr Tannous",1890.0,1912.0,22,Male,3rd Class Passenger,2695,£7             4s             7d,,Cherbourg,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/tannous-elias-nasrallah.html
280,"STANLEY, Miss Amy Zillah Elsie",1888.0,1955.0,24,Female,3rd Class Passenger,2314,£7             11s,,Southampton,Servant,SAVED,C,,English,https://www.encyclopedia-titanica.org/titanic-survivor/amy-zillah-elsie-stanley.html
281,"GOODWIN, Mrs Augusta",1868.0,1912.0,43,Female,3rd Class Passenger,2144,£46             18s,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/augusta-goodwin.html
282,"DALY, Mr Peter Dennis",1860.0,1932.0,51,Male,1st Class Passenger,113055,£26             11s,E17,Southampton,Businessman,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/peter-dennis-daly.html
283,"OSMAN, Mrs Mara",1881.0,1930.0,31,Female,3rd Class Passenger,349244,£8             13s             8d,,Southampton,,SAVED,,,Croatian,https://www.encyclopedia-titanica.org/titanic-survivor/maria-osman.html
284,"VAN DE VELDE, Mr Johannes Josef",1876.0,1912.0,35,Male,3rd Class Passenger,345780,£9             10s,,Southampton,Farmer,LOST,,,Belgian,https://www.encyclopedia-titanica.org/titanic-victim/johannes-josef-van-de-velde.html
285,"OLSVIGEN, Mr Thor Anderson",1892.0,1912.0,20,Male,3rd Class Passenger,6563,£9             4s             6d,,Southampton,Salesman,LOST,,89.0,Norwegian,https://www.encyclopedia-titanica.org/titanic-victim/thor-anderson-olsvigen.html
286,"BRADLEY, Miss Bridget",1890.0,1956.0,22,Female,3rd Class Passenger,334914,£7             14s             6d,,Queenstown,,SAVED,13,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/bridget-bradley.html
287,"BAXTER, Mrs Hélène",1862.0,1923.0,50,Female,1st Class Passenger,17558,£247             10s             5d,B58/60,Cherbourg,,SAVED,6,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/helene-baxter.html
288,"BAZZī, Mr Rashīd Al-Hāj 'Adb al-Husayn",1882.0,1912.0,30,Male,3rd Class Passenger,2629,£7             4s             7d,,Cherbourg,,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/raihed-razi.html
289,"KANTOR, Mrs Miriam",1888.0,,24,Female,2nd Class Passenger,244367,£26.00,,Southampton,,SAVED,12,,Russian,https://www.encyclopedia-titanica.org/titanic-survivor/miriam-kantor.html
290,"OLSEN, Mr Ole Martin",1885.0,1912.0,27,Male,3rd Class Passenger,265302,£7             6s             3d,,Southampton,General Labourer,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/ole-martin-olsen.html
291,"HAMPE, Mr Léon Jérome",1892.0,1912.0,19,Male,3rd Class Passenger,345769,£9             10s,,Southampton,Painter & Decorator,LOST,,,Belgian,https://www.encyclopedia-titanica.org/titanic-victim/leon-jerome-hampe.html
292,"PETROFF, Mr Nedialco",1893.0,1912.0,19,Male,3rd Class Passenger,349212,£7             17s             11d,,Southampton,Potter,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/nedialco-petroff.html
293,"ANDERSSON, Miss Erna Alexandra",1895.0,,16,Female,3rd Class Passenger,3101281,£7             18s             6d,,Southampton,,SAVED,,,Finnish,https://www.encyclopedia-titanica.org/titanic-survivor/erna-andersson.html
294,"SOBEY, Mr Samuel James Hayden",1886.0,1912.0,25,Male,2nd Class Passenger,29178,£13.00,,Southampton,Quarryman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/samuel-james-hayden-sobey.html
295,"SHORNEY, Mr Charles Joseph",1889.0,1912.0,22,Male,3rd Class Passenger,374910,£8             1s,,Southampton,Valet,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-joseph-shorney.html
296,"CARTER, Mrs Lilian",1867.0,1912.0,45,Female,2nd Class Passenger,244252,£26.00,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/lilian-carter.html
297,"RYAN, Mr Edward",1888.0,1974.0,24,Male,3rd Class Passenger,383162,£7             15s,,Queenstown,General Labourer,SAVED,14,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/edward-ryan.html
298,"SAGE, Miss Elizabeth Ada",1901.0,1912.0,10,Female,3rd Class Passenger,2343,£69             11s,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/elizabeth-ada-sage.html
299,"LINDSTRöM, Mrs Sigrid",1856.0,1946.0,55,Female,1st Class Passenger,112377,£27             14s             5d,,Cherbourg,,SAVED,6,,Swedish,https://www.encyclopedia-titanica.org/titanic-survivor/sigrid-lindstrom.html
300,"MUSLAMāNī, Mrs Fatīmah Muhammad",1890.0,1971.0,22,Female,3rd Class Passenger,2649,£7             4s             6d,,Cherbourg,,SAVED,C,,Syrian,https://www.encyclopedia-titanica.org/titanic-survivor/fatima-mousselmani.html
301,"ṬANNūS, Mr Ṭannūs Ḥannā Mu'awwad",1896.0,1912.0,16,Male,3rd Class Passenger,2684,£7             4s             6d,,Cherbourg,Scholar,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/tannous-thomas-tannous.html
302,"DAVIES, Mrs Agnes",1863.0,1933.0,48,Female,2nd Class Passenger,33112,£36             15s,,Southampton,,SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-agnes-mary-davies.html
303,"STEVENS, Mr George",,,,Male,1st Class Passenger Cross Channel Passenger,50,£1             10s,,Southampton,,,,,,https://www.encyclopedia-titanica.org/titanic-biography/g-stevens.html
304,"TIKKANEN, Mr Juho",1879.0,1912.0,32,Male,3rd Class Passenger,3101293,£7             18s             6d,,Southampton,General Labourer,LOST,,,Finnish,https://www.encyclopedia-titanica.org/titanic-victim/juho-tikkanen.html
305,"GOLDENBERG, Mr Samuel Levi",1864.0,1936.0,47,Male,1st Class Passenger,17453,£89             2s             1d,C92,Cherbourg,,SAVED,5,,American,https://www.encyclopedia-titanica.org/titanic-survivor/samuel-goldenberg.html
306,"DENKOV, Mr Mityu",1882.0,1912.0,30,Male,3rd Class Passenger,349225,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/mityu-denkov.html
307,"CARLSSON, Mr Frans Olof",1878.0,1912.0,33,Male,1st Class Passenger,695,£5.00,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/frans-olof-carlsson.html
308,"LANG, Mr Fang",1880.0,,32,Male,3rd Class Passenger,1601,£56             9s             11d,,Southampton,Seaman,SAVED,14,,"Hong Kongese, Chinese",https://www.encyclopedia-titanica.org/titanic-survivor/fang-lang.html
309,"COXON, Mr Daniel",1853.0,1912.0,58,Male,3rd Class Passenger,364500,£7             5s,,Southampton,Dealer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/daniel-coxon.html
310,"CASE, Mr Howard Brown",1863.0,1912.0,49,Male,1st Class Passenger,19924,£26.00,,Southampton,,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/howard-case.html
311,"TURčIN, Mr Stjepan",1876.0,1912.0,36,Male,3rd Class Passenger,349247,£7             17s             11d,,Southampton,General Labourer,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/stjepan-turcin.html
312,"WHEELER, Mr Edwin Charles",1886.0,1912.0,26,Male,2nd Class Passenger Servant,2159,£12             17s             6d,,Southampton,Servant,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edwin-charles-fred-wheeler.html
313,"REUCHLIN, Jonkh Johan George",1874.0,1912.0,37,Male,1st Class Passenger,19972,,,Cherbourg,,LOST,,,Dutch,https://www.encyclopedia-titanica.org/titanic-victim/johan-george-reuchlin.html
314,"JERWAN, Mrs Marie Marthe",1888.0,1974.0,23,Female,2nd Class Passenger,541,£13             15s             10d,D?,Cherbourg,,SAVED,11,,Swiss,https://www.encyclopedia-titanica.org/titanic-survivor/marie-marthe-jerwan.html
315,"SIVIć, Mr Husein",1872.0,1912.0,40,Male,3rd Class Passenger,349251,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bosnian,https://www.encyclopedia-titanica.org/titanic-victim/husein-sivic.html
316,"MADSEN, Mr Fridtjof Arne",1888.0,1972.0,24,Male,3rd Class Passenger,17369,£7             2s             10d,,Southampton,,SAVED,13,,Norwegian,https://www.encyclopedia-titanica.org/titanic-survivor/fridtjof-arne-madsen.html
317,"ALI, Mr William",1887.0,1912.0,25,Male,3rd Class Passenger,3101312,£7             1s,,Southampton,General Labourer,LOST,,79.0,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/william-ali.html
318,"CHAFFEE, Mrs Carrie Constance",1864.0,1931.0,47,Female,1st Class Passenger,5734,£61             3s             6d,E31,Southampton,,SAVED,4,,American,https://www.encyclopedia-titanica.org/titanic-survivor/carrie-constance-chaffee.html
319,"HOLTEN, Mr Johan Martin",1894.0,1912.0,18,Male,3rd Class Passenger,4001,£22             10s             6d,,Southampton,Seaman,LOST,,,Norwegian,https://www.encyclopedia-titanica.org/titanic-victim/johan-martin-holthen.html
320,"WILSON, Miss Helen Alice",1879.0,1939.0,33,Female,1st Class Passenger Servant,16966,£134             10s,E39 or 41,Cherbourg,Personal Maid,SAVED,3,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/helen-wilson.html
321,"WARE, Mr William Jeffery",1889.0,1912.0,22,Male,2nd Class Passenger,28666,£10             10s,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-jeffery-ware.html
322,"CARRAú-ESTEVES, Mr José Pedro",1894.0,1912.0,17,Male,1st Class Passenger,113059,£47             2s,,Southampton,,LOST,,,Uruguayan,https://www.encyclopedia-titanica.org/titanic-victim/jose-pedro-carrau.html
323,"JOHANSSON, Mr Nils",1881.0,1912.0,30,Male,3rd Class Passenger,347467,£7             17s             1d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/nils-johansson.html
324,"SäGESSER, Mlle Emma",1887.0,1964.0,24,Female,1st Class Passenger Servant,17477,£69             6s,B35 ?,Cherbourg,Personal Maid,SAVED,9,,Swiss,https://www.encyclopedia-titanica.org/titanic-survivor/emma-sagesser.html
325,"WILLIAMS, Mr Howard Hugh",1884.0,1912.0,28,Male,3rd Class Passenger,2466,£8             1s,,Southampton,Carman,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/howard-hugh-harry-williams.html
326,"MUDD, Mr Thomas Cupper",1895.0,1912.0,16,Male,2nd Class Passenger,S.O./P.P 3,£10             10s,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-cupper-mudd.html
327,"WELLS, Master Ralph Lester",1909.0,1972.0,2,Male,2nd Class Passenger,29103,£23.00,,Southampton,,SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ralph-lester-wells.html
328,"ROTH, Miss Sarah",1885.0,1947.0,26,Female,3rd Class Passenger,342712,£8             1s,,Southampton,Tailor,SAVED,C,,Polish,https://www.encyclopedia-titanica.org/titanic-survivor/sarah-roth.html
329,"KINK, Miss Maria",1889.0,1912.0,23,Female,3rd Class Passenger,315152,£8             13s             3d,R190,Southampton,,LOST,,,"Austrian, Swiss",https://www.encyclopedia-titanica.org/titanic-victim/maria-kink.html
330,"BRYHL, Mr Kurt Arnold Gottfrid",1887.0,1912.0,25,Male,2nd Class Passenger,236853,£26.00,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/kurt-arnold-gottfrid-bryhl.html
